x,p_initial,p_final
9.840000,1.8461961616e-13,3.4242832959e-11
9.860000,1.2392613734e-13,2.3714518445e-11
9.880000,8.2470287365e-14,1.6284304325e-11
9.900000,5.4408997276e-14,1.1120030833e-11
9.920000,3.5583366088e-14,7.5232768631e-12
9.940000,2.3065597624e-14,5.0657132984e-12
9.960000,1.4816072593e-14,3.3752122854e-12
9.980000,9.4281896958e-15,2.2408499209e-12
10.000000,5.9413771985e-15,1.4693544919e-12
10.020000,3.7059383105e-15,9.6177794293e-13
10.040000,2.2865966504e-15,6.1993846546e-13
10.060000,1.3944753947e-15,3.9996344083e-13
10.080000,8.3966688975e-16,2.5290889838e-13
10.100000,4.9851607549e-16,1.6062686340e-13
10.120000,2.9128872658e-16,9.9130170663e-14
10.140000,1.6708372854e-16,6.1527822707e-14
10.160000,9.3742138190e-17,3.6307053023e-14
10.180000,5.1165734911e-17,2.1024898963e-14
10.200000,2.6937480585e-17,1.0395478313e-14
10.220000,1.6767015291e-17,6.3824026268e-15
