x,psi_1,psi_2,psi_3,psi_4,psi_5
4.0700000000e+01,1.1870725469e-01,-1.8982174848e-01,1.8483187010e-01,-1.0573818885e-01,-1.5748624594e-02
4.0800000000e+01,1.1773541267e-01,-1.8913194036e-01,1.8608898521e-01,-1.0980420853e-01,-9.6978506476e-03
4.0900000000e+01,1.1675913798e-01,-1.8841364967e-01,1.8728304660e-01,-1.1380408627e-01,-3.6379494236e-03
4.1000000000e+01,1.1577846738e-01,-1.8766698457e-01,1.8841364967e-01,-1.1773541267e-01,2.4253757111e-03
4.1100000000e+01,1.1479343778e-01,-1.8689205752e-01,1.8948041134e-01,-1.2159581967e-01,8.4864181670e-03
4.1200000000e+01,1.1380408627e-01,-1.8608898521e-01,1.9048297014e-01,-1.2538298189e-01,1.4539473503e-02
4.1300000000e+01,1.1281045010e-01,-1.8525788859e-01,1.9142098638e-01,-1.2909461809e-01,2.0578844796e-02
4.1400000000e+01,1.1181256668e-01,-1.8439889280e-01,1.9229414222e-01,-1.3272849252e-01,2.6598848000e-02
4.1500000000e+01,1.1081047358e-01,-1.8351212723e-01,1.9310214181e-01,-1.3628241628e-01,3.2593817300e-02
4.1600000000e+01,1.0980420853e-01,-1.8259772540e-01,1.9384471135e-01,-1.3975424859e-01,3.8558110439e-02
4.1700000000e+01,1.0879380942e-01,-1.8165582502e-01,1.9452159925e-01,-1.4314189818e-01,4.4486114035e-02
4.1800000000e+01,1.0777931428e-01,-1.8068656795e-01,1.9513257616e-01,-1.4644332444e-01,5.0372248857e-02
4.1900000000e+01,1.0676076130e-01,-1.7969010014e-01,1.9567743504e-01,-1.4965653871e-01,5.6210975082e-02
4.2000000000e+01,1.0573818885e-01,-1.7866657167e-01,1.9615599128e-01,-1.5277960548e-01,6.1996797504e-02
4.2100000000e+01,1.0471163541e-01,-1.7761613666e-01,1.9656808273e-01,-1.5581064353e-01,6.7724270711e-02
4.2200000000e+01,1.0368113964e-01,-1.7653895332e-01,1.9691356975e-01,-1.5874782708e-01,7.3388004204e-02
4.2300000000e+01,1.0264674034e-01,-1.7543518387e-01,1.9719233529e-01,-1.6158938687e-01,7.8982667477e-02
4.2400000000e+01,1.0160847644e-01,-1.7430499452e-01,1.9740428489e-01,-1.6433361126e-01,8.4502995028e-02
4.2500000000e+01,1.0056638704e-01,-1.7314855548e-01,1.9754934673e-01,-1.6697884722e-01,8.9943791317e-02
4.2600000000e+01,9.9520511368e-02,-1.7196604090e-01,1.9762747165e-01,-1.6952350137e-01,9.5299935659e-02
4.2700000000e+01,9.8470888809e-02,-1.7075762887e-01,1.9763863320e-01,-1.7196604090e-01,1.0056638704e-01
4.2800000000e+01,9.7417558877e-02,-1.6952350137e-01,1.9758282758e-01,-1.7430499452e-01,1.0573818885e-01
4.2900000000e+01,9.6360561228e-02,-1.6826384425e-01,1.9746007370e-01,-1.7653895332e-01,1.1081047358e-01
4.3000000000e+01,9.5299935659e-02,-1.6697884722e-01,1.9727041316e-01,-1.7866657167e-01,1.1577846738e-01
4.3100000000e+01,9.4235722101e-02,-1.6566870379e-01,1.9701391023e-01,-1.8068656795e-01,1.2063749453e-01
4.3200000000e+01,9.3167960621e-02,-1.6433361126e-01,1.9669065181e-01,-1.8259772540e-01,1.2538298189e-01
4.3300000000e+01,9.2096691421e-02,-1.6297377069e-01,1.9630074743e-01,-1.8439889280e-01,1.3001046318e-01
4.3400000000e+01,9.1021954832e-02,-1.6158938687e-01,1.9584432921e-01,-1.8608898521e-01,1.3451558318e-01
4.3500000000e+01,8.9943791317e-02,-1.6018066828e-01,1.9532155181e-01,-1.8766698457e-01,1.3889410181e-01
4.3600000000e+01,8.8862241470e-02,-1.5874782708e-01,1.9473259235e-01,-1.8913194036e-01,1.4314189818e-01
4.3700000000e+01,8.7777346010e-02,-1.5729107904e-01,1.9407765040e-01,-1.9048297014e-01,1.4725497440e-01
4.3800000000e+01,8.6689145782e-02,-1.5581064353e-01,1.9335694787e-01,-1.9171926010e-01,1.5122945940e-01
4.3900000000e+01,8.5597681757e-02,-1.5430674352e-01,1.9257072898e-01,-1.9284006555e-01,1.5506161252e-01
4.4000000000e+01,8.4502995028e-02,-1.5277960548e-01,1.9171926010e-01,-1.9384471135e-01,1.5874782708e-01
4.4100000000e+01,8.3405126808e-02,-1.5122945940e-01,1.9080282976e-01,-1.9473259235e-01,1.6228463374e-01
4.4200000000e+01,8.2304118433e-02,-1.4965653871e-01,1.8982174848e-01,-1.9550317371e-01,1.6566870379e-01
